date,value,series_id
2020-03-16,8.38,BAMLH0A0HYM2
2020-03-17,8.41,BAMLH0A0HYM2
2020-03-18,9.04,BAMLH0A0HYM2
2020-03-19,9.82,BAMLH0A0HYM2
2020-03-20,10.09,BAMLH0A0HYM2
2020-03-23,10.87,BAMLH0A0HYM2
2020-03-24,10.55,BAMLH0A0HYM2
2020-03-25,10.11,BAMLH0A0HYM2
2020-03-26,9.29,BAMLH0A0HYM2
2020-03-27,8.99,BAMLH0A0HYM2
2020-03-30,8.82,BAMLH0A0HYM2
2020-03-31,8.77,BAMLH0A0HYM2
2020-04-01,9.11,BAMLH0A0HYM2
2020-04-02,9.17,BAMLH0A0HYM2
2020-04-03,9.43,BAMLH0A0HYM2
2020-04-06,9.26,BAMLH0A0HYM2
2020-04-07,8.88,BAMLH0A0HYM2
2020-04-08,8.81,BAMLH0A0HYM2
2020-04-09,7.96,BAMLH0A0HYM2
2020-04-10,.,BAMLH0A0HYM2
2020-04-13,7.70,BAMLH0A0HYM2
2020-04-14,7.35,BAMLH0A0HYM2
2020-04-15,7.64,BAMLH0A0HYM2
2020-04-16,7.58,BAMLH0A0HYM2
2020-04-17,7.31,BAMLH0A0HYM2
2020-04-20,7.52,BAMLH0A0HYM2
2020-04-21,7.90,BAMLH0A0HYM2
2020-04-22,7.85,BAMLH0A0HYM2
2020-04-23,7.87,BAMLH0A0HYM2
2020-04-24,8.03,BAMLH0A0HYM2
2020-04-27,8.01,BAMLH0A0HYM2
2020-04-28,8.02,BAMLH0A0HYM2
2020-04-29,7.87,BAMLH0A0HYM2
2020-04-30,7.63,BAMLH0A0HYM2
2020-05-01,7.70,BAMLH0A0HYM2
2020-05-04,7.79,BAMLH0A0HYM2
2020-05-05,7.60,BAMLH0A0HYM2
2020-05-06,7.60,BAMLH0A0HYM2
2020-05-07,7.60,BAMLH0A0HYM2
2020-05-08,7.52,BAMLH0A0HYM2
2020-05-11,7.51,BAMLH0A0HYM2
2020-05-12,7.42,BAMLH0A0HYM2
2020-05-13,7.61,BAMLH0A0HYM2
2020-05-14,7.77,BAMLH0A0HYM2
2020-05-15,7.78,BAMLH0A0HYM2
2020-05-18,7.41,BAMLH0A0HYM2
2020-05-19,7.35,BAMLH0A0HYM2
2020-05-20,7.16,BAMLH0A0HYM2
2020-05-21,7.08,BAMLH0A0HYM2
2020-05-22,7.06,BAMLH0A0HYM2
2020-05-25,7.06,BAMLH0A0HYM2
2020-05-26,6.75,BAMLH0A0HYM2
2020-05-27,6.70,BAMLH0A0HYM2
2020-05-28,6.60,BAMLH0A0HYM2
2020-05-29,6.71,BAMLH0A0HYM2
2020-05-31,6.54,BAMLH0A0HYM2
2020-06-01,6.43,BAMLH0A0HYM2
2020-06-02,6.18,BAMLH0A0HYM2
2020-06-03,5.80,BAMLH0A0HYM2
2020-06-04,5.83,BAMLH0A0HYM2
2020-06-05,5.50,BAMLH0A0HYM2
2020-06-08,5.51,BAMLH0A0HYM2
2020-06-09,5.75,BAMLH0A0HYM2
2020-06-10,5.92,BAMLH0A0HYM2
2020-06-11,6.40,BAMLH0A0HYM2
2020-06-12,6.28,BAMLH0A0HYM2
2020-06-15,6.25,BAMLH0A0HYM2
2020-06-16,5.78,BAMLH0A0HYM2
2020-06-17,5.85,BAMLH0A0HYM2
2020-06-18,6.01,BAMLH0A0HYM2
2020-06-19,6.02,BAMLH0A0HYM2
2020-06-22,6.03,BAMLH0A0HYM2
2020-06-23,6.02,BAMLH0A0HYM2
2020-06-24,6.23,BAMLH0A0HYM2
2020-06-25,6.30,BAMLH0A0HYM2
2020-06-26,6.41,BAMLH0A0HYM2
2020-06-29,6.52,BAMLH0A0HYM2
2020-06-30,6.44,BAMLH0A0HYM2
2020-07-01,6.33,BAMLH0A0HYM2
2020-07-02,6.17,BAMLH0A0HYM2
2020-07-03,6.17,BAMLH0A0HYM2
2020-07-06,6.03,BAMLH0A0HYM2
2020-07-07,6.04,BAMLH0A0HYM2
2020-07-08,6.06,BAMLH0A0HYM2
2020-07-09,6.14,BAMLH0A0HYM2
2020-07-10,6.14,BAMLH0A0HYM2
2020-07-13,6.01,BAMLH0A0HYM2
2020-07-14,6.03,BAMLH0A0HYM2
2020-07-15,5.81,BAMLH0A0HYM2
2020-07-16,5.76,BAMLH0A0HYM2
2020-07-17,5.74,BAMLH0A0HYM2
2020-07-20,5.54,BAMLH0A0HYM2
2020-07-21,5.33,BAMLH0A0HYM2
2020-07-22,5.28,BAMLH0A0HYM2
2020-07-23,5.26,BAMLH0A0HYM2
2020-07-24,5.29,BAMLH0A0HYM2
2020-07-27,5.24,BAMLH0A0HYM2
2020-07-28,5.27,BAMLH0A0HYM2
2020-07-29,5.15,BAMLH0A0HYM2
2020-07-30,5.14,BAMLH0A0HYM2
2020-07-31,5.16,BAMLH0A0HYM2
2020-08-03,5.08,BAMLH0A0HYM2
2020-08-04,5.13,BAMLH0A0HYM2
2020-08-05,5.04,BAMLH0A0HYM2
2020-08-06,5.06,BAMLH0A0HYM2
2020-08-07,5.06,BAMLH0A0HYM2
2020-08-10,5.09,BAMLH0A0HYM2
2020-08-11,5.03,BAMLH0A0HYM2
2020-08-12,5.10,BAMLH0A0HYM2
2020-08-13,5.16,BAMLH0A0HYM2
2020-08-14,5.26,BAMLH0A0HYM2
2020-08-17,5.29,BAMLH0A0HYM2
2020-08-18,5.26,BAMLH0A0HYM2
2020-08-19,5.25,BAMLH0A0HYM2
2020-08-20,5.28,BAMLH0A0HYM2
2020-08-21,5.25,BAMLH0A0HYM2
2020-08-24,5.17,BAMLH0A0HYM2
2020-08-25,5.07,BAMLH0A0HYM2
2020-08-26,5.02,BAMLH0A0HYM2
2020-08-27,4.98,BAMLH0A0HYM2
2020-08-28,5.00,BAMLH0A0HYM2
2020-08-31,5.02,BAMLH0A0HYM2
2020-09-01,4.97,BAMLH0A0HYM2
2020-09-02,4.93,BAMLH0A0HYM2
2020-09-03,5.04,BAMLH0A0HYM2
2020-09-04,5.13,BAMLH0A0HYM2
2020-09-07,5.13,BAMLH0A0HYM2
2020-09-08,5.25,BAMLH0A0HYM2
2020-09-09,5.16,BAMLH0A0HYM2
2020-09-10,5.16,BAMLH0A0HYM2
2020-09-11,5.21,BAMLH0A0HYM2
2020-09-14,5.18,BAMLH0A0HYM2
2020-09-15,5.14,BAMLH0A0HYM2
2020-09-16,5.07,BAMLH0A0HYM2
2020-09-17,5.14,BAMLH0A0HYM2
2020-09-18,5.16,BAMLH0A0HYM2
2020-09-21,5.42,BAMLH0A0HYM2
2020-09-22,5.45,BAMLH0A0HYM2
2020-09-23,5.47,BAMLH0A0HYM2
2020-09-24,5.64,BAMLH0A0HYM2
2020-09-25,5.64,BAMLH0A0HYM2
2020-09-28,5.52,BAMLH0A0HYM2
2020-09-29,5.50,BAMLH0A0HYM2
2020-09-30,5.41,BAMLH0A0HYM2
2020-10-01,5.36,BAMLH0A0HYM2
2020-10-02,5.38,BAMLH0A0HYM2
2020-10-05,5.18,BAMLH0A0HYM2
2020-10-06,5.06,BAMLH0A0HYM2
2020-10-07,5.02,BAMLH0A0HYM2
2020-10-08,4.97,BAMLH0A0HYM2
2020-10-09,4.92,BAMLH0A0HYM2
2020-10-12,4.92,BAMLH0A0HYM2
2020-10-13,4.88,BAMLH0A0HYM2
2020-10-14,4.89,BAMLH0A0HYM2
2020-10-15,5.01,BAMLH0A0HYM2
2020-10-16,4.94,BAMLH0A0HYM2
2020-10-19,4.91,BAMLH0A0HYM2
2020-10-20,4.90,BAMLH0A0HYM2
2020-10-21,4.91,BAMLH0A0HYM2
2020-10-22,4.88,BAMLH0A0HYM2
2020-10-23,4.87,BAMLH0A0HYM2
2020-10-26,5.03,BAMLH0A0HYM2
2020-10-27,5.06,BAMLH0A0HYM2
2020-10-28,5.29,BAMLH0A0HYM2
2020-10-29,5.25,BAMLH0A0HYM2
2020-10-30,5.25,BAMLH0A0HYM2
2020-10-31,5.32,BAMLH0A0HYM2
2020-11-02,5.25,BAMLH0A0HYM2
2020-11-03,5.07,BAMLH0A0HYM2
2020-11-04,4.79,BAMLH0A0HYM2
2020-11-05,4.59,BAMLH0A0HYM2
2020-11-06,4.67,BAMLH0A0HYM2
2020-11-09,4.22,BAMLH0A0HYM2
2020-11-10,4.37,BAMLH0A0HYM2
2020-11-11,4.37,BAMLH0A0HYM2
2020-11-12,4.62,BAMLH0A0HYM2
2020-11-13,4.63,BAMLH0A0HYM2
2020-11-16,4.50,BAMLH0A0HYM2
2020-11-17,4.48,BAMLH0A0HYM2
2020-11-18,4.42,BAMLH0A0HYM2
2020-11-19,4.48,BAMLH0A0HYM2
2020-11-20,4.49,BAMLH0A0HYM2
2020-11-23,4.43,BAMLH0A0HYM2
2020-11-24,4.31,BAMLH0A0HYM2
2020-11-25,4.33,BAMLH0A0HYM2
2020-11-26,4.33,BAMLH0A0HYM2
2020-11-27,4.35,BAMLH0A0HYM2
2020-11-30,4.33,BAMLH0A0HYM2
2020-12-01,4.21,BAMLH0A0HYM2
2020-12-02,4.17,BAMLH0A0HYM2
2020-12-03,4.10,BAMLH0A0HYM2
2020-12-04,4.03,BAMLH0A0HYM2
2020-12-07,4.03,BAMLH0A0HYM2
2020-12-08,4.03,BAMLH0A0HYM2
2020-12-09,4.04,BAMLH0A0HYM2
2020-12-10,4.08,BAMLH0A0HYM2
2020-12-11,4.13,BAMLH0A0HYM2
2020-12-14,4.07,BAMLH0A0HYM2
2020-12-15,4.06,BAMLH0A0HYM2
2020-12-16,4.06,BAMLH0A0HYM2
2020-12-17,4.05,BAMLH0A0HYM2
2020-12-18,4.03,BAMLH0A0HYM2
2020-12-21,4.18,BAMLH0A0HYM2
2020-12-22,4.12,BAMLH0A0HYM2
2020-12-23,4.07,BAMLH0A0HYM2
2020-12-24,4.05,BAMLH0A0HYM2
2020-12-25,.,BAMLH0A0HYM2
2020-12-28,3.89,BAMLH0A0HYM2
2020-12-29,3.85,BAMLH0A0HYM2
2020-12-30,3.87,BAMLH0A0HYM2
2020-12-31,3.86,BAMLH0A0HYM2
2021-01-01,.,BAMLH0A0HYM2
2021-01-04,3.93,BAMLH0A0HYM2
2021-01-05,3.92,BAMLH0A0HYM2
2021-01-06,3.80,BAMLH0A0HYM2
2021-01-07,3.78,BAMLH0A0HYM2
2021-01-08,3.76,BAMLH0A0HYM2
2021-01-11,3.82,BAMLH0A0HYM2
2021-01-12,3.85,BAMLH0A0HYM2
2021-01-13,3.82,BAMLH0A0HYM2
2021-01-14,3.73,BAMLH0A0HYM2
2021-01-15,3.74,BAMLH0A0HYM2
2021-01-18,3.73,BAMLH0A0HYM2
2021-01-19,3.71,BAMLH0A0HYM2
2021-01-20,3.67,BAMLH0A0HYM2
2021-01-21,3.65,BAMLH0A0HYM2
2021-01-22,3.75,BAMLH0A0HYM2
2021-01-25,3.75,BAMLH0A0HYM2
2021-01-26,3.74,BAMLH0A0HYM2
2021-01-27,3.85,BAMLH0A0HYM2
2021-01-28,3.76,BAMLH0A0HYM2
2021-01-29,3.79,BAMLH0A0HYM2
2021-01-31,3.84,BAMLH0A0HYM2
2021-02-01,3.83,BAMLH0A0HYM2
2021-02-02,3.75,BAMLH0A0HYM2
2021-02-03,3.68,BAMLH0A0HYM2
2021-02-04,3.64,BAMLH0A0HYM2
2021-02-05,3.58,BAMLH0A0HYM2
2021-02-08,3.54,BAMLH0A0HYM2
2021-02-09,3.51,BAMLH0A0HYM2
2021-02-10,3.51,BAMLH0A0HYM2
2021-02-11,3.50,BAMLH0A0HYM2
2021-02-12,3.48,BAMLH0A0HYM2
2021-02-15,3.47,BAMLH0A0HYM2
2021-02-16,3.41,BAMLH0A0HYM2
2021-02-17,3.44,BAMLH0A0HYM2
2021-02-18,3.46,BAMLH0A0HYM2
2021-02-19,3.41,BAMLH0A0HYM2
2021-02-22,3.44,BAMLH0A0HYM2
2021-02-23,3.47,BAMLH0A0HYM2
2021-02-24,3.42,BAMLH0A0HYM2
2021-02-25,3.42,BAMLH0A0HYM2
2021-02-26,3.52,BAMLH0A0HYM2
2021-02-28,3.57,BAMLH0A0HYM2
2021-03-01,3.54,BAMLH0A0HYM2
2021-03-02,3.53,BAMLH0A0HYM2
2021-03-03,3.51,BAMLH0A0HYM2
2021-03-04,3.54,BAMLH0A0HYM2
2021-03-05,3.60,BAMLH0A0HYM2
2021-03-08,3.57,BAMLH0A0HYM2
2021-03-09,3.62,BAMLH0A0HYM2
2021-03-10,3.63,BAMLH0A0HYM2
2021-03-11,3.52,BAMLH0A0HYM2
2021-03-12,3.55,BAMLH0A0HYM2
2021-03-15,3.55,BAMLH0A0HYM2
2021-03-16,3.55,BAMLH0A0HYM2
2021-03-17,3.65,BAMLH0A0HYM2
2021-03-18,3.66,BAMLH0A0HYM2
2021-03-19,3.67,BAMLH0A0HYM2
2021-03-22,3.58,BAMLH0A0HYM2
2021-03-23,3.57,BAMLH0A0HYM2
2021-03-24,3.51,BAMLH0A0HYM2
2021-03-25,3.53,BAMLH0A0HYM2
2021-03-26,3.48,BAMLH0A0HYM2
2021-03-29,3.43,BAMLH0A0HYM2
2021-03-30,3.44,BAMLH0A0HYM2
2021-03-31,3.36,BAMLH0A0HYM2
2021-04-01,3.33,BAMLH0A0HYM2
2021-04-02,.,BAMLH0A0HYM2
2021-04-05,3.25,BAMLH0A0HYM2
2021-04-06,3.25,BAMLH0A0HYM2
2021-04-07,3.22,BAMLH0A0HYM2
2021-04-08,3.21,BAMLH0A0HYM2
2021-04-09,3.24,BAMLH0A0HYM2
2021-04-12,3.24,BAMLH0A0HYM2
2021-04-13,3.32,BAMLH0A0HYM2
2021-04-14,3.25,BAMLH0A0HYM2
2021-04-15,3.25,BAMLH0A0HYM2
2021-04-16,3.22,BAMLH0A0HYM2
2021-04-19,3.25,BAMLH0A0HYM2
2021-04-20,3.35,BAMLH0A0HYM2
2021-04-21,3.34,BAMLH0A0HYM2
2021-04-22,3.34,BAMLH0A0HYM2
2021-04-23,3.29,BAMLH0A0HYM2
2021-04-26,3.26,BAMLH0A0HYM2
2021-04-27,3.24,BAMLH0A0HYM2
2021-04-28,3.26,BAMLH0A0HYM2
2021-04-29,3.24,BAMLH0A0HYM2
2021-04-30,3.28,BAMLH0A0HYM2
2021-05-03,3.27,BAMLH0A0HYM2
2021-05-04,3.32,BAMLH0A0HYM2
2021-05-05,3.29,BAMLH0A0HYM2
2021-05-06,3.30,BAMLH0A0HYM2
2021-05-07,3.27,BAMLH0A0HYM2
2021-05-10,3.26,BAMLH0A0HYM2
2021-05-11,3.36,BAMLH0A0HYM2
2021-05-12,3.34,BAMLH0A0HYM2
2021-05-13,3.37,BAMLH0A0HYM2
2021-05-14,3.35,BAMLH0A0HYM2
2021-05-17,3.35,BAMLH0A0HYM2
2021-05-18,3.35,BAMLH0A0HYM2
2021-05-19,3.40,BAMLH0A0HYM2
2021-05-20,3.42,BAMLH0A0HYM2
2021-05-21,3.37,BAMLH0A0HYM2
2021-05-24,3.37,BAMLH0A0HYM2
2021-05-25,3.34,BAMLH0A0HYM2
2021-05-26,3.35,BAMLH0A0HYM2
2021-05-27,3.30,BAMLH0A0HYM2
2021-05-28,3.29,BAMLH0A0HYM2
2021-05-31,3.34,BAMLH0A0HYM2
2021-06-01,3.33,BAMLH0A0HYM2
2021-06-02,3.31,BAMLH0A0HYM2
2021-06-03,3.28,BAMLH0A0HYM2
2021-06-04,3.28,BAMLH0A0HYM2
2021-06-07,3.27,BAMLH0A0HYM2
2021-06-08,3.26,BAMLH0A0HYM2
2021-06-09,3.22,BAMLH0A0HYM2
2021-06-10,3.23,BAMLH0A0HYM2
2021-06-11,3.21,BAMLH0A0HYM2
2021-06-14,3.17,BAMLH0A0HYM2
2021-06-15,3.17,BAMLH0A0HYM2
2021-06-16,3.12,BAMLH0A0HYM2
2021-06-17,3.15,BAMLH0A0HYM2
2021-06-18,3.18,BAMLH0A0HYM2
2021-06-21,3.14,BAMLH0A0HYM2
2021-06-22,3.15,BAMLH0A0HYM2
2021-06-23,3.13,BAMLH0A0HYM2
2021-06-24,3.08,BAMLH0A0HYM2
2021-06-25,3.04,BAMLH0A0HYM2
2021-06-28,3.05,BAMLH0A0HYM2
2021-06-29,3.03,BAMLH0A0HYM2
2021-06-30,3.04,BAMLH0A0HYM2
2021-07-01,3.02,BAMLH0A0HYM2
2021-07-02,3.04,BAMLH0A0HYM2
2021-07-05,3.03,BAMLH0A0HYM2
2021-07-06,3.05,BAMLH0A0HYM2
2021-07-07,3.05,BAMLH0A0HYM2
2021-07-08,3.14,BAMLH0A0HYM2
2021-07-09,3.07,BAMLH0A0HYM2
2021-07-12,3.05,BAMLH0A0HYM2
2021-07-13,3.04,BAMLH0A0HYM2
2021-07-14,3.10,BAMLH0A0HYM2
2021-07-15,3.14,BAMLH0A0HYM2
2021-07-16,3.18,BAMLH0A0HYM2
2021-07-19,3.44,BAMLH0A0HYM2
2021-07-20,3.38,BAMLH0A0HYM2
2021-07-21,3.24,BAMLH0A0HYM2
2021-07-22,3.24,BAMLH0A0HYM2
2021-07-23,3.22,BAMLH0A0HYM2
2021-07-26,3.21,BAMLH0A0HYM2
2021-07-27,3.27,BAMLH0A0HYM2
2021-07-28,3.26,BAMLH0A0HYM2
2021-07-29,3.23,BAMLH0A0HYM2
2021-07-30,3.26,BAMLH0A0HYM2
2021-07-31,3.32,BAMLH0A0HYM2
2021-08-02,3.36,BAMLH0A0HYM2
2021-08-03,3.42,BAMLH0A0HYM2
2021-08-04,3.42,BAMLH0A0HYM2
2021-08-05,3.37,BAMLH0A0HYM2
2021-08-06,3.32,BAMLH0A0HYM2
2021-08-09,3.34,BAMLH0A0HYM2
2021-08-10,3.32,BAMLH0A0HYM2
2021-08-11,3.37,BAMLH0A0HYM2
2021-08-12,3.34,BAMLH0A0HYM2
2021-08-13,3.36,BAMLH0A0HYM2
2021-08-16,3.38,BAMLH0A0HYM2
2021-08-17,3.37,BAMLH0A0HYM2
2021-08-18,3.35,BAMLH0A0HYM2
2021-08-19,3.42,BAMLH0A0HYM2
2021-08-20,3.37,BAMLH0A0HYM2
2021-08-23,3.34,BAMLH0A0HYM2
2021-08-24,3.26,BAMLH0A0HYM2
2021-08-25,3.22,BAMLH0A0HYM2
2021-08-26,3.20,BAMLH0A0HYM2
2021-08-27,3.17,BAMLH0A0HYM2
2021-08-30,3.16,BAMLH0A0HYM2
2021-08-31,3.21,BAMLH0A0HYM2
2021-09-01,3.19,BAMLH0A0HYM2
2021-09-02,3.16,BAMLH0A0HYM2
2021-09-03,3.14,BAMLH0A0HYM2
2021-09-06,3.13,BAMLH0A0HYM2
2021-09-07,3.16,BAMLH0A0HYM2
2021-09-08,3.16,BAMLH0A0HYM2
2021-09-09,3.15,BAMLH0A0HYM2
2021-09-10,3.11,BAMLH0A0HYM2
2021-09-13,3.09,BAMLH0A0HYM2
2021-09-14,3.11,BAMLH0A0HYM2
2021-09-15,3.08,BAMLH0A0HYM2
2021-09-16,3.06,BAMLH0A0HYM2
2021-09-17,3.04,BAMLH0A0HYM2
2021-09-20,3.23,BAMLH0A0HYM2
2021-09-21,3.17,BAMLH0A0HYM2
2021-09-22,3.09,BAMLH0A0HYM2
2021-09-23,3.03,BAMLH0A0HYM2
2021-09-24,3.05,BAMLH0A0HYM2
2021-09-27,3.06,BAMLH0A0HYM2
2021-09-28,3.13,BAMLH0A0HYM2
2021-09-29,3.09,BAMLH0A0HYM2
2021-09-30,3.15,BAMLH0A0HYM2
2021-10-01,3.20,BAMLH0A0HYM2
2021-10-04,3.21,BAMLH0A0HYM2
2021-10-05,3.17,BAMLH0A0HYM2
2021-10-06,3.29,BAMLH0A0HYM2
2021-10-07,3.19,BAMLH0A0HYM2
2021-10-08,3.20,BAMLH0A0HYM2
2021-10-11,3.20,BAMLH0A0HYM2
2021-10-12,3.28,BAMLH0A0HYM2
2021-10-13,3.25,BAMLH0A0HYM2
2021-10-14,3.18,BAMLH0A0HYM2
2021-10-15,3.12,BAMLH0A0HYM2
2021-10-18,3.11,BAMLH0A0HYM2
2021-10-19,3.09,BAMLH0A0HYM2
2021-10-20,3.07,BAMLH0A0HYM2
2021-10-21,3.03,BAMLH0A0HYM2
2021-10-22,3.07,BAMLH0A0HYM2
2021-10-25,3.11,BAMLH0A0HYM2
2021-10-26,3.09,BAMLH0A0HYM2
2021-10-27,3.11,BAMLH0A0HYM2
2021-10-28,3.08,BAMLH0A0HYM2
2021-10-29,3.08,BAMLH0A0HYM2
2021-10-31,3.15,BAMLH0A0HYM2
2021-11-01,3.16,BAMLH0A0HYM2
2021-11-02,3.21,BAMLH0A0HYM2
2021-11-03,3.18,BAMLH0A0HYM2
2021-11-04,3.19,BAMLH0A0HYM2
2021-11-05,3.12,BAMLH0A0HYM2
2021-11-08,3.03,BAMLH0A0HYM2
2021-11-09,3.08,BAMLH0A0HYM2
2021-11-10,3.06,BAMLH0A0HYM2
2021-11-11,3.06,BAMLH0A0HYM2
2021-11-12,3.09,BAMLH0A0HYM2
2021-11-15,3.10,BAMLH0A0HYM2
2021-11-16,3.12,BAMLH0A0HYM2
2021-11-17,3.17,BAMLH0A0HYM2
2021-11-18,3.19,BAMLH0A0HYM2
2021-11-19,3.24,BAMLH0A0HYM2
2021-11-22,3.18,BAMLH0A0HYM2
2021-11-23,3.30,BAMLH0A0HYM2
2021-11-24,3.32,BAMLH0A0HYM2
2021-11-25,3.32,BAMLH0A0HYM2
2021-11-26,3.62,BAMLH0A0HYM2
2021-11-29,3.53,BAMLH0A0HYM2
2021-11-30,3.67,BAMLH0A0HYM2
2021-12-01,3.58,BAMLH0A0HYM2
2021-12-02,3.54,BAMLH0A0HYM2
2021-12-03,3.56,BAMLH0A0HYM2
2021-12-06,3.41,BAMLH0A0HYM2
2021-12-07,3.16,BAMLH0A0HYM2
2021-12-08,3.21,BAMLH0A0HYM2
2021-12-09,3.25,BAMLH0A0HYM2
2021-12-10,3.29,BAMLH0A0HYM2
2021-12-13,3.33,BAMLH0A0HYM2
2021-12-14,3.35,BAMLH0A0HYM2
2021-12-15,3.33,BAMLH0A0HYM2
2021-12-16,3.32,BAMLH0A0HYM2
2021-12-17,3.36,BAMLH0A0HYM2
2021-12-20,3.41,BAMLH0A0HYM2
2021-12-21,3.25,BAMLH0A0HYM2
2021-12-22,3.21,BAMLH0A0HYM2
2021-12-23,3.12,BAMLH0A0HYM2
2021-12-24,.,BAMLH0A0HYM2
2021-12-27,3.02,BAMLH0A0HYM2
2021-12-28,3.01,BAMLH0A0HYM2
2021-12-29,3.03,BAMLH0A0HYM2
2021-12-30,3.09,BAMLH0A0HYM2
2021-12-31,3.10,BAMLH0A0HYM2
2022-01-03,3.05,BAMLH0A0HYM2
2022-01-04,3.09,BAMLH0A0HYM2
2022-01-05,3.07,BAMLH0A0HYM2
2022-01-06,3.15,BAMLH0A0HYM2
2022-01-07,3.20,BAMLH0A0HYM2
2022-01-10,3.24,BAMLH0A0HYM2
2022-01-11,3.18,BAMLH0A0HYM2
2022-01-12,3.06,BAMLH0A0HYM2
2022-01-13,3.10,BAMLH0A0HYM2
2022-01-14,3.09,BAMLH0A0HYM2
2022-01-17,3.09,BAMLH0A0HYM2
2022-01-18,3.12,BAMLH0A0HYM2
2022-01-19,3.11,BAMLH0A0HYM2
2022-01-20,3.10,BAMLH0A0HYM2
2022-01-21,3.29,BAMLH0A0HYM2
2022-01-24,3.44,BAMLH0A0HYM2
2022-01-25,3.39,BAMLH0A0HYM2
2022-01-26,3.25,BAMLH0A0HYM2
2022-01-27,3.46,BAMLH0A0HYM2
2022-01-28,3.61,BAMLH0A0HYM2
2022-01-31,3.63,BAMLH0A0HYM2
2022-02-01,3.51,BAMLH0A0HYM2
2022-02-02,3.45,BAMLH0A0HYM2
2022-02-03,3.51,BAMLH0A0HYM2
2022-02-04,3.56,BAMLH0A0HYM2
2022-02-07,3.60,BAMLH0A0HYM2
2022-02-08,3.55,BAMLH0A0HYM2
2022-02-09,3.46,BAMLH0A0HYM2
2022-02-10,3.44,BAMLH0A0HYM2
2022-02-11,3.66,BAMLH0A0HYM2
2022-02-14,3.74,BAMLH0A0HYM2
2022-02-15,3.67,BAMLH0A0HYM2
2022-02-16,3.68,BAMLH0A0HYM2
2022-02-17,3.74,BAMLH0A0HYM2
2022-02-18,3.78,BAMLH0A0HYM2
2022-02-21,3.78,BAMLH0A0HYM2
2022-02-22,3.75,BAMLH0A0HYM2
2022-02-23,3.72,BAMLH0A0HYM2
2022-02-24,3.93,BAMLH0A0HYM2
2022-02-25,3.62,BAMLH0A0HYM2
2022-02-28,3.77,BAMLH0A0HYM2
2022-03-01,3.89,BAMLH0A0HYM2
2022-03-02,3.71,BAMLH0A0HYM2
2022-03-03,3.71,BAMLH0A0HYM2
2022-03-04,3.90,BAMLH0A0HYM2
2022-03-07,4.01,BAMLH0A0HYM2
2022-03-08,4.03,BAMLH0A0HYM2
2022-03-09,3.94,BAMLH0A0HYM2
2022-03-10,4.00,BAMLH0A0HYM2
2022-03-11,4.05,BAMLH0A0HYM2
2022-03-14,4.16,BAMLH0A0HYM2
2022-03-15,4.21,BAMLH0A0HYM2
2022-03-16,3.96,BAMLH0A0HYM2
